question_id,schema_version,category,topic,status,source_id,pdf_page,printed_page,content_review,japanese_review,indonesian_review,furigana_review,japanese_learning_review,answer_leak_review,rights_review,user_approval,language_point_keys,question_ja,notes,pilot_set,source_title,source_edition,source_section,current_reviewer_type,current_reviewed_at,device_review,correction_notes
q001,0.4.0,畜産共通,畜産の概要,source_checked,livestock-textbook-2023-09,7,1,pass,pass,pending_native_review,pending,pending,pending,pass,pending,most_appropriate,日本で主に飼養されている家畜の組合せとして、最も適切なものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,A,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／日本農業・畜産の現況,ai_source_review,2026-08-11,pending,
q002,0.3.0,畜産共通,経営形態,source_checked,livestock-textbook-2023-09,7,1,pass,pass,pending_native_review,,,,pass,pending,,繁殖から肥育までを同じ経営体で行う経営形態はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q003,0.3.0,畜産共通,防疫,source_checked,livestock-textbook-2023-09,5,はじめに,pass,pass,pending_native_review,,,,pass,pending,,日本へ入国する前、家畜に触れないよう求められている期間はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q004,0.4.0,畜産共通,防疫,source_checked,livestock-textbook-2023-09,5,はじめに,pass,pass,pending_native_review,pending,pending,pending,pass,pending,in_principle,入国後の防疫行動として、教材が原則として求めているものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,C,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,はじめに／入国時の注意点,ai_source_review,2026-08-11,pending,
q005,0.3.0,乳用牛,品種,source_checked,livestock-textbook-2023-09,8,2,pass,pass,pending_native_review,,,,pass,pending,,日本の乳牛で最も多い品種はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q006,0.3.0,乳用牛,繁殖,source_checked,livestock-textbook-2023-09,9,3,pass,pass,pending_native_review,,,,pass,pending,,乳牛に最初の人工授精を行う一般的な月齢はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q007,0.3.0,乳用牛,繁殖,source_checked,livestock-textbook-2023-09,9,3,pass,pass,pending_native_review,,,,pass,pending,,乳牛の妊娠期間として最も適切なものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q008,0.4.0,乳用牛,搾乳管理,source_checked,livestock-textbook-2023-09,9,3,pass,pass,pending_native_review,pending,pending,pending,pass,pending,before_after,次の分娩に備えて搾乳を止める時期として、教材に沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,A,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／乳牛のライフサイクル,ai_source_review,2026-08-11,pending,
q009,0.3.0,乳用牛,暑熱管理,source_checked,livestock-textbook-2023-09,10,4,pass,pass,pending_native_review,,,,pass,pending,,ホルスタイン種乳牛の快適な温度帯はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q010,0.3.0,肉用牛,品種,source_checked,livestock-textbook-2023-09,13,7,pass,pass,pending_native_review,,,,pass,pending,,日本の肉用牛で生産量が多い3区分の組合せとして、最も適切なものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
